iter	Passed	Remaining
400	14467	21611
401	14506	21578
402	14534	21531
403	14563	21484
404	14592	21438
405	14621	21391
406	14648	21342
407	14675	21293
408	14702	21245
409	14731	21198
410	14758	21149
411	14788	21105
412	14816	21059
413	14846	21014
414	14876	20969
415	14905	20925
416	14936	20882
417	14971	20845
418	15005	20806
419	15037	20765
420	15067	20721
421	15095	20675
422	15123	20629
423	15153	20586
424	15182	20540
425	15209	20494
426	15241	20452
427	15274	20413
428	15304	20370
429	15344	20340
430	15373	20296
431	15408	20258
432	15439	20217
433	15469	20174
434	15499	20131
435	15526	20084
436	15556	20042
437	15584	19996
438	15612	19951
439	15642	19908
440	15671	19865
441	15703	19824
442	15732	19781
443	15761	19737
444	15791	19694
445	15826	19658
446	15858	19618
447	15887	19575
448	15917	19533
449	15963	19511
450	15992	19467
451	16025	19429
452	16054	19385
453	16082	19341
454	16111	19298
455	16139	19254
456	16167	19210
457	16196	19166
458	16226	19125
459	16255	19082
460	16285	19041
461	16314	18998
462	16344	18957
463	16375	18916
464	16404	18873
465	16433	18831
466	16462	18789
467	16492	18748
468	16524	18708
469	16553	18666
470	16599	18643
471	16628	18601
472	16658	18560
473	16686	18517
474	16717	18477
475	16749	18438
476	16789	18408
477	16817	18365
478	16846	18324
479	16875	18281
480	16922	18259
481	16970	18238
482	17022	18220
483	17059	18187
484	17102	18160
485	17151	18139
486	17196	18114
487	17235	18083
488	17274	18051
489	17317	18023
490	17351	17987
491	17384	17949
492	17421	17915
493	17457	17881
494	17494	17847
495	17529	17811
496	17564	17776
497	17598	17739
498	17632	17702
499	17668	17668
500	17704	17633
501	17735	17594
502	17767	17555
503	17802	17520
504	17837	17484
505	17876	17452
506	17912	17417
507	17962	17396
508	17997	17361
509	18038	17330
510	18087	17308
511	18126	17276
512	18165	17244
513	18207	17215
514	18253	17189
515	18313	17177
516	18393	17183
517	18453	17171
518	18506	17151
519	18556	17128
520	18587	17089
521	18616	17047
522	18646	17006
523	18677	16966
524	18708	16926
525	18741	16889
526	18775	16851
527	18808	16813
528	18841	16775
529	18875	16738
530	18906	16698
531	18937	16659
532	18969	16620
533	19000	16580
534	19028	16538
535	19064	16503
536	19106	16473
537	19221	16506
538	19265	16477
539	19300	16441
540	19331	16401
541	19365	16364
542	19396	16324
543	19432	16289
544	19467	16252
545	19504	16218
546	19542	16184
547	19581	16151
548	19622	16120
549	19662	16087
550	19692	16046
551	19725	16009
552	19767	15978
553	19798	15938
554	19829	15899
555	19862	15861
556	19895	15823
557	19924	15782
558	19955	15742
559	19986	15703
560	20015	15662
561	20043	15621
562	20071	15579
563	20115	15550
564	20153	15516
565	20193	15483
566	20231	15450
567	20278	15423
568	20312	15385
569	20345	15348
570	20391	15320
571	20424	15282
572	20468	15253
573	20513	15223
574	20553	15191
575	20598	15162
576	20640	15131
577	20673	15093
578	20704	15054
579	20735	15015
580	20787	14990
581	20825	14957
582	20944	14980
583	21021	14974
584	21078	14953
585	21107	14912
586	21148	14879
587	21192	14849
588	21234	14817
589	21279	14787
590	21329	14761
591	21358	14719
592	21394	14683
593	21428	14646
594	21477	14618
595	21519	14586
596	21561	14555
597	21605	14524
598	21636	14484
599	21672	14448
600	21703	14409
601	21736	14370
602	21769	14332
603	21801	14293
604	21843	14261
605	21894	14234
606	21937	14203
607	21971	14165
608	22005	14128
609	22035	14088
610	22068	14050
611	22101	14011
612	22133	13973
613	22165	13934
614	22198	13896
615	22230	13858
616	22264	13820
617	22297	13782
618	22332	13745
619	22363	13706
620	22393	13666
621	22427	13629
622	22459	13591
623	22490	13551
624	22522	13513
625	22553	13474
626	22584	13435
627	22616	13396
628	22645	13357
629	22679	13319
630	22716	13284
631	22754	13249
632	22790	13213
633	22822	13175
634	22853	13136
635	22885	13097
636	22918	13060
637	22966	13030
638	23007	12997
639	23051	12966
640	23098	12936
641	23129	12897
642	23160	12858
643	23192	12820
644	23225	12783
645	23254	12743
646	23287	12705
647	23325	12670
648	23358	12633
649	23389	12594
650	23421	12556
651	23453	12517
652	23482	12478
653	23513	12439
654	23589	12424
655	23630	12391
656	23661	12352
657	23691	12313
658	23719	12273
659	23747	12233
660	23776	12194
661	23806	12155
662	23836	12115
663	23864	12075
664	23895	12037
665	23922	11997
666	23953	11958
667	23982	11919
668	24011	11880
669	24042	11841
670	24073	11803
671	24103	11764
672	24132	11725
673	24162	11686
674	24189	11646
675	24217	11607
676	24245	11567
677	24273	11528
678	24301	11488
679	24330	11449
680	24359	11410
681	24387	11371
682	24416	11332
683	24444	11293
684	24480	11257
685	24514	11220
686	24548	11184
687	24585	11149
688	24622	11114
689	24660	11079
690	24690	11041
691	24720	11002
692	24748	10963
693	24777	10925
694	24807	10886
695	24837	10848
696	24866	10810
697	24894	10771
698	24923	10732
699	24952	10693
700	24982	10656
701	25015	10619
702	25047	10581
703	25081	10545
704	25115	10509
705	25143	10470
706	25173	10432
707	25204	10394
708	25235	10357
709	25267	10320
710	25296	10282
711	25326	10244
712	25355	10206
713	25385	10168
714	25414	10130
715	25443	10092
716	25471	10053
717	25501	10015
718	25534	9979
719	25563	9941
720	25592	9903
721	25624	9866
722	25653	9828
