iter	MultiClass
0	1.087822207
1	1.078090143
2	1.067995037
3	1.060656191
4	1.052017442
5	1.043390467
6	1.034892498
7	1.028988718
8	1.022205343
9	1.015756766
10	1.008797975
11	1.003896511
12	0.997754901
13	0.9922825556
14	0.9870230494
15	0.9818601117
16	0.9766899203
17	0.9733714395
18	0.9715732348
19	0.9681761398
20	0.9637350919
21	0.9597068794
22	0.955994508
23	0.9521776877
24	0.9485139934
25	0.9448210687
26	0.9416483818
27	0.9380507883
28	0.9343136125
29	0.9316677257
30	0.928568852
31	0.92512669
32	0.9222196299
33	0.9193071458
34	0.9168726722
35	0.9137491645
36	0.9110036046
37	0.9083005367
38	0.9056324393
39	0.9027907994
40	0.901034511
41	0.8987769374
42	0.8961375809
43	0.8931974123
44	0.8903780858
45	0.8878736617
46	0.8862813644
47	0.8834377556
48	0.8816758762
49	0.8790469217
50	0.8767899675
51	0.8752262633
52	0.8738157212
53	0.8729068864
54	0.871632914
55	0.8695557562
56	0.8666999626
57	0.8651575634
58	0.8635998728
59	0.8611387798
60	0.8595018554
61	0.8580316314
62	0.8556640744
63	0.8542278958
64	0.8525969409
65	0.8509664933
66	0.849917992
67	0.8483385699
68	0.8468571175
69	0.8455636705
70	0.8434429949
71	0.8421583195
72	0.8401009393
73	0.8387596208
74	0.8376873208
75	0.8369235285
76	0.8350669546
77	0.8341281812
78	0.8334510375
79	0.8321294703
80	0.8307602405
81	0.8295477842
82	0.8284892761
83	0.8268013028
84	0.8252360016
85	0.8241377257
86	0.8226409564
87	0.8212706543
88	0.820582857
89	0.8196683302
90	0.8182978366
91	0.8176881062
92	0.8170304496
93	0.8161840129
94	0.8150252743
95	0.8142624748
96	0.8131316348
97	0.8122154458
98	0.8106468751
99	0.8091185008
100	0.8082502353
101	0.8073074602
102	0.8059826597
103	0.8042969391
104	0.8036003734
105	0.8035531644
106	0.802499285
107	0.8014769923
108	0.8011694
109	0.8006193918
110	0.7999503702
111	0.7990779206
112	0.7974267166
113	0.7963763885
114	0.7958928599
115	0.7943356684
116	0.7935862933
117	0.793001619
118	0.7921463686
119	0.7913711326
120	0.790696203
121	0.7906403988
122	0.7900133861
123	0.788399804
124	0.7878181377
125	0.7868498129
126	0.786212804
127	0.7848804459
128	0.7840453395
129	0.7817075074
130	0.7811737837
131	0.7807051562
132	0.7799609734
133	0.7790223282
134	0.7777084571
135	0.7770887557
136	0.7759005539
137	0.7743088655
138	0.7734896686
139	0.772134907
140	0.7712400552
141	0.7700496911
142	0.7693220826
143	0.7686443299
144	0.767702088
145	0.7666355912
146	0.7662978909
147	0.7658358469
148	0.7648183274
149	0.7642804615
150	0.7637048697
151	0.7627500222
152	0.762167015
153	0.7610697062
154	0.7605016151
155	0.7601342133
156	0.7595482762
157	0.7585234691
158	0.7578206833
159	0.7569842682
160	0.7559763301
161	0.7552086076
162	0.7543007707
163	0.7535009368
164	0.7525420116
165	0.7521782072
166	0.7515647517
167	0.7505924681
168	0.7494933157
169	0.7486433705
170	0.7477724232
171	0.7472163326
172	0.7462473274
173	0.7454910318
174	0.7448884541
175	0.7443136934
176	0.7422613618
177	0.7417177647
178	0.7405605361
179	0.7399551911
180	0.7390527213
181	0.7379551322
182	0.7366924257
183	0.7358518461
184	0.734570196
185	0.7333937704
186	0.7326306384
187	0.7321845308
188	0.7310376057
189	0.72970036
190	0.7289119763
191	0.7284718368
192	0.7278868572
193	0.7270956433
194	0.7261528008
195	0.7254850343
196	0.7248000964
197	0.7239605322
198	0.7228514563
199	0.7225720659
200	0.72205486
201	0.7213880894
202	0.720537072
203	0.7192853843
204	0.7186465344
205	0.7180362992
206	0.717620912
207	0.716874444
208	0.7163694087
209	0.7153248087
210	0.7146367514
211	0.7142264318
212	0.7135541468
213	0.7129225423
214	0.7125290117
215	0.7116252793
216	0.7106830014
217	0.7096660326
218	0.7082780074
219	0.7076245285
220	0.7061744153
221	0.7050921981
222	0.7039741037
223	0.7031024209
224	0.7019164621
225	0.7009125117
226	0.7002875102
227	0.6993282435
228	0.6987691548
229	0.6979062199
230	0.6967146358
231	0.6961319259
232	0.6948241385
233	0.6939952691
234	0.6934746038
235	0.6925399034
236	0.6918360879
237	0.6900934642
238	0.6895696643
239	0.6885301731
240	0.6868185658
241	0.6860094227
242	0.6848151089
243	0.6841939512
244	0.68363757
245	0.6829903193
246	0.6823731585
247	0.6814422965
248	0.6804093133
249	0.6792265012
250	0.6785877063
251	0.6778792644
252	0.6771501959
253	0.6759929508
254	0.6753153131
255	0.6747583453
256	0.673566999
257	0.673102958
258	0.6725794537
259	0.6720301209
260	0.6709547011
261	0.6700161672
262	0.6691937577
263	0.6681212594
264	0.6671706784
265	0.6665639677
266	0.6659785517
267	0.6654868309
268	0.6650444144
269	0.6640701248
270	0.6635966896
271	0.6631957019
272	0.6628169474
273	0.6619400379
274	0.6610787811
275	0.6602088911
276	0.659600105
277	0.6584298296
278	0.6574954076
279	0.6563812863
280	0.6553530734
281	0.654851191
282	0.6544217594
283	0.6534898559
284	0.653041087
285	0.6522696147
286	0.6518261648
287	0.6512509872
288	0.6502301947
289	0.6499718455
290	0.6491230503
291	0.6485629482
292	0.6478275218
293	0.6472216409
294	0.6464945938
295	0.6458479914
296	0.6448055263
297	0.6441010135
298	0.643128473
299	0.6420983672
300	0.6414452242
301	0.6411906863
302	0.6404892931
303	0.6397816386
304	0.6393063403
305	0.6382897219
306	0.6379810564
307	0.6370538108
308	0.6363919791
309	0.6354023383
310	0.6348002359
311	0.6343545384
312	0.6341362031
313	0.6331423322
314	0.6323033581
315	0.6315369037
316	0.6302674596
317	0.630030528
318	0.6296447294
319	0.6289573281
320	0.6287021384
321	0.6284033652
322	0.6274494103
323	0.6267839105
324	0.6261897139
325	0.6247913008
326	0.6242882379
327	0.6237995613
328	0.6232221396
329	0.6222330617
330	0.6214143363
331	0.6203412943
332	0.6194103176
333	0.6185763632
334	0.6181837684
335	0.6177725081
336	0.6171847035
337	0.6163893484
338	0.6153293544
339	0.6147289766
340	0.6137760573
341	0.6132719523
342	0.6127135689
343	0.6118441995
344	0.6111846642
345	0.6101480697
346	0.6092571516
347	0.608811741
348	0.6082322535
