iter	Passed	Remaining
0	50	50345
1	78	38992
2	121	40505
3	159	39666
4	195	38911
5	243	40307
6	303	42993
7	365	45280
8	413	45489
9	458	45439
10	514	46280
11	539	44453
12	554	42136
13	603	42483
14	682	44806
15	737	45334
16	807	46716
17	846	46171
18	927	47901
19	952	46664
20	965	44993
21	1035	46032
22	1119	47547
23	1335	54307
24	1434	55945
25	1672	62652
26	1896	68362
27	1969	68354
28	2052	68713
29	2101	67946
30	2219	69381
31	2293	69383
32	2344	68688
33	2509	71290
34	2586	71308
35	2708	72533
36	2775	72240
37	2886	73070
38	2929	72177
39	2974	71393
40	3005	70306
41	3038	69301
42	3075	68447
43	3112	67634
44	3148	66824
45	3202	66423
46	3251	65924
47	3292	65298
48	3330	64630
49	3363	63912
50	3399	63249
51	3432	62584
52	3467	61948
53	3507	61451
54	3561	61191
55	3611	60879
56	3650	60393
57	3687	59894
58	3726	59428
59	3761	58926
60	3796	58445
61	3838	58067
62	3880	57710
63	3934	57539
64	3974	57168
65	4028	57005
66	4071	56691
67	4142	56777
68	4157	56101
69	4190	55668
70	4242	55516
71	4278	55148
72	4324	54918
73	4363	54602
74	4403	54308
75	4444	54040
76	4476	53664
77	4507	53283
78	4536	52884
79	4563	52476
80	4593	52114
81	4621	51742
82	4652	51396
83	4680	51035
84	4710	50702
85	4738	50360
86	4769	50047
87	4799	49745
88	4830	49448
89	4849	49030
90	4875	48700
91	4921	48568
92	4950	48276
93	4978	47980
94	5008	47709
95	5037	47433
96	5065	47159
97	5096	46908
98	5125	46650
99	5154	46390
100	5184	46149
101	5214	45911
102	5250	45725
103	5278	45472
104	5307	45244
105	5337	45015
106	5368	44804
107	5411	44691
108	5459	44627
109	5502	44520
110	5541	44385
111	5584	44274
112	5628	44181
113	5695	44262
114	5748	44239
115	5796	44176
116	5826	43974
117	5857	43785
118	5869	43455
119	5897	43245
120	5925	43044
121	5953	42846
122	5981	42647
123	6008	42445
124	6040	42281
125	6070	42109
126	6097	41914
127	6127	41742
128	6160	41596
129	6187	41408
130	6218	41251
131	6249	41096
132	6278	40928
133	6311	40790
134	6343	40645
135	6371	40477
136	6403	40337
137	6432	40182
138	6462	40033
139	6493	39888
140	6522	39739
141	6554	39605
142	6584	39460
143	6614	39322
144	6645	39187
145	6675	39046
146	6704	38904
147	6734	38768
148	6765	38641
149	6796	38516
150	6828	38392
151	6875	38355
152	6904	38225
153	6935	38097
154	6962	37954
155	6989	37815
156	7019	37692
157	7050	37572
158	7079	37444
159	7108	37320
160	7137	37196
161	7165	37067
162	7212	37033
163	7245	36932
164	7274	36814
165	7303	36692
166	7331	36569
167	7361	36458
168	7390	36341
169	7419	36224
170	7450	36121
171	7482	36018
172	7510	35904
173	7540	35793
174	7570	35689
175	7601	35587
176	7630	35479
177	7660	35374
178	7690	35271
179	7719	35166
180	7748	35061
181	7780	34970
182	7811	34872
183	7841	34774
184	7873	34687
185	7904	34593
186	7934	34494
187	7967	34412
188	7996	34314
189	8027	34223
190	8058	34134
191	8088	34039
192	8124	33972
193	8155	33883
194	8187	33799
195	8215	33699
196	8259	33666
197	8290	33580
198	8320	33491
199	8349	33397
200	8380	33315
201	8411	33230
202	8442	33147
203	8475	33069
204	8506	32987
205	8536	32904
206	8563	32805
207	8593	32720
208	8623	32637
209	8656	32564
210	8694	32512
211	8731	32456
212	8769	32402
213	8781	32254
214	8811	32170
215	8842	32094
216	8869	32004
217	8897	31916
218	8928	31840
219	8958	31763
220	8990	31689
221	9019	31609
222	9051	31537
223	9082	31465
224	9112	31387
225	9143	31315
226	9172	31235
227	9202	31160
228	9234	31092
229	9265	31020
230	9299	30956
231	9327	30875
232	9356	30799
233	9386	30728
234	9417	30657
235	9447	30582
236	9478	30513
237	9510	30448
238	9538	30372
239	9570	30305
240	9603	30244
241	9633	30173
242	9664	30106
243	9697	30047
244	9727	29976
245	9758	29909
246	9791	29849
247	9818	29773
248	9848	29703
249	9877	29631
250	9907	29566
251	9941	29508
252	9971	29441
253	10002	29377
254	10032	29311
255	10066	29255
256	10099	29197
257	10130	29135
258	10162	29075
259	10192	29009
260	10222	28942
261	10252	28878
262	10284	28819
263	10318	28767
264	10347	28700
265	10378	28638
266	10408	28574
267	10441	28519
268	10471	28455
269	10501	28393
270	10533	28336
271	10564	28276
272	10595	28215
273	10625	28154
274	10655	28092
275	10686	28031
276	10719	27978
277	10751	27923
278	10782	27863
279	10814	27808
280	10847	27755
281	10878	27697
282	10911	27646
283	10944	27592
284	10974	27533
285	11003	27470
286	11035	27416
287	11068	27362
288	11100	27310
289	11132	27254
290	11164	27200
291	11196	27146
292	11228	27093
293	11260	27039
294	11290	26982
295	11321	26927
296	11355	26878
297	11392	26837
298	11430	26798
299	11467	26758
300	11498	26703
301	11528	26645
302	11562	26598
303	11610	26583
304	11643	26532
305	11672	26473
306	11703	26418
307	11735	26367
308	11767	26314
309	11797	26259
310	11829	26206
311	11861	26155
312	11893	26104
313	11926	26056
314	11960	26009
315	11993	25960
316	12023	25906
317	12057	25858
318	12087	25803
319	12115	25746
320	12147	25694
321	12176	25639
322	12206	25583
323	12236	25531
324	12269	25483
325	12299	25428
326	12329	25375
327	12363	25330
328	12393	25277
329	12426	25229
330	12468	25200
331	12499	25148
332	12529	25096
333	12562	25050
334	12594	25001
335	12624	24948
336	12654	24895
337	12685	24844
338	12715	24793
339	12744	24740
340	12775	24689
341	12806	24639
342	12835	24585
343	12867	24538
344	12900	24492
345	12931	24442
346	12963	24395
347	12995	24347
348	13026	24299
349	13060	24256
350	13093	24210
351	13122	24158
352	13154	24110
353	13186	24063
354	13215	24012
355	13246	23963
356	13279	23918
357	13309	23867
358	13338	23816
359	13367	23764
360	13396	23712
361	13426	23664
362	13456	23614
363	13499	23587
364	13529	23538
365	13561	23491
366	13592	23444
367	13625	23400
368	13657	23354
369	13688	23307
370	13720	23261
371	13751	23214
372	13780	23163
373	13813	23120
374	13842	23070
375	13870	23019
376	13901	22973
377	13931	22924
378	13963	22879
379	13992	22829
380	14025	22786
381	14058	22743
382	14089	22698
383	14122	22654
384	14153	22608
385	14185	22564
386	14216	22519
387	14246	22470
388	14274	22420
389	14312	22386
390	14341	22338
391	14373	22293
392	14404	22248
393	14438	22207
394	14469	22162
395	14498	22114
396	14526	22064
397	14568	22035
398	14599	21990
399	14632	21948
400	14665	21906
401	14697	21863
402	14728	21819
403	14759	21773
404	14792	21731
405	14821	21685
406	14851	21639
407	14881	21593
408	14913	21549
409	14947	21509
410	14979	21466
411	15009	21421
412	15043	21381
413	15076	21340
414	15106	21294
415	15135	21248
416	15170	21209
417	15203	21167
418	15234	21124
419	15268	21085
420	15300	21042
421	15331	20999
422	15375	20973
423	15406	20930
424	15437	20885
425	15470	20844
426	15500	20800
427	15531	20757
428	15562	20713
429	15593	20670
430	15624	20627
431	15658	20587
432	15687	20542
433	15716	20496
434	15745	20451
435	15776	20408
436	15808	20367
437	15841	20326
438	15874	20285
439	15905	20243
440	15934	20198
441	15965	20155
442	15998	20115
443	16028	20071
444	16065	20036
445	16096	19993
446	16128	19952
447	16160	19911
448	16193	19872
449	16222	19827
450	16251	19782
451	16285	19743
452	16315	19700
453	16346	19659
454	16378	19618
455	16409	19576
456	16443	19537
457	16474	19495
458	16502	19450
459	16534	19409
460	16564	19367
461	16593	19322
462	16626	19284
463	16656	19241
464	16688	19200
465	16719	19158
466	16749	19116
467	16780	19075
468	16811	19033
469	16842	18992
470	16874	18951
471	16902	18907
472	16931	18864
473	16961	18822
474	16991	18779
475	17022	18739
476	17056	18701
477	17087	18660
478	17115	18616
479	17149	18578
480	17182	18539
481	17213	18499
482	17244	18458
483	17275	18418
484	17304	18375
485	17336	18335
486	17366	18293
487	17395	18251
488	17424	18208
489	17455	18168
490	17486	18127
491	17516	18086
492	17549	18048
493	17580	18007
494	17613	17969
495	17643	17928
