iter	Passed	Remaining
0	25	25411
1	46	23056
2	73	24436
3	104	26126
4	134	26682
5	163	27134
6	195	27781
7	228	28311
8	237	26117
9	264	26159
10	292	26321
11	322	26572
12	349	26569
13	378	26630
14	390	25673
15	417	25675
16	447	25896
17	476	26009
18	527	27229
19	587	28767
20	630	29412
21	673	29922
22	685	29112
23	727	29567
24	811	31661
25	882	33078
26	942	33957
27	1028	35693
28	1074	35962
29	1126	36421
30	1174	36707
31	1195	36153
32	1235	36206
33	1314	37333
34	1389	38298
35	1440	38561
36	1477	38447
37	1536	38898
38	1570	38686
39	1607	38569
40	1644	38462
41	1684	38422
42	1719	38261
43	1751	38060
44	1785	37902
45	1816	37677
46	1849	37498
47	1885	37390
48	1917	37220
49	1951	37084
50	1984	36932
51	2017	36776
52	2051	36656
53	2083	36508
54	2118	36394
55	2154	36314
56	2188	36209
57	2224	36126
58	2270	36215
59	2308	36170
60	2347	36133
61	2385	36087
62	2416	35942
63	2452	35862
64	2487	35788
65	2523	35704
66	2548	35492
67	2573	35275
68	2598	35060
69	2625	34879
70	2652	34706
71	2678	34527
72	2704	34338
73	2728	34140
74	2755	33989
75	2782	33825
76	2808	33667
77	2836	33532
78	2865	33401
79	2893	33270
80	2919	33124
81	2945	32979
82	2976	32885
83	3005	32771
84	3031	32637
85	3061	32541
86	3089	32424
87	3115	32290
88	3143	32177
89	3170	32062
90	3198	31950
91	3224	31824
92	3251	31712
93	3278	31599
94	3303	31472
95	3330	31357
96	3356	31251
97	3385	31156
98	3412	31054
99	3438	30944
100	3484	31015
101	3511	30915
102	3538	30812
103	3563	30702
104	3588	30588
105	3616	30498
106	3642	30401
107	3668	30296
108	3676	30049
109	3702	29957
110	3730	29879
111	3758	29797
112	3793	29781
113	3825	29727
114	3854	29661
115	3884	29599
116	3913	29535
117	3941	29459
118	3969	29389
119	3997	29315
120	4024	29238
121	4051	29156
122	4081	29101
123	4109	29031
124	4137	28964
125	4165	28892
126	4192	28821
127	4219	28745
128	4246	28670
129	4274	28605
130	4302	28538
131	4327	28457
132	4353	28382
133	4383	28330
134	4412	28274
135	4440	28208
136	4468	28146
137	4499	28103
138	4529	28059
139	4561	28022
140	4590	27969
141	4621	27925
142	4651	27879
143	4682	27833
144	4710	27776
145	4737	27713
146	4768	27667
147	4796	27613
148	4823	27550
149	4849	27482
150	4878	27427
151	4906	27372
152	4933	27313
153	4960	27250
154	4987	27192
155	5015	27134
156	5041	27072
157	5078	27064
158	5108	27019
159	5140	26986
160	5169	26939
161	5198	26888
162	5228	26846
163	5259	26810
164	5290	26773
165	5320	26728
166	5349	26680
167	5394	26717
168	5423	26666
169	5455	26634
170	5484	26589
171	5511	26533
172	5541	26488
173	5569	26437
174	5599	26395
175	5628	26350
176	5657	26306
177	5686	26259
178	5712	26201
179	5742	26161
180	5773	26123
181	5801	26075
182	5831	26032
183	5861	25996
184	5892	25957
185	5921	25912
186	5947	25857
187	5973	25802
188	6007	25777
189	6034	25727
190	6066	25695
191	6093	25645
192	6123	25602
193	6150	25554
194	6177	25503
195	6207	25464
196	6235	25418
197	6265	25377
198	6292	25326
199	6300	25200
200	6325	25144
201	6351	25092
202	6380	25048
203	6411	25017
204	6446	25001
205	6489	25011
206	6523	24989
207	6560	24980
208	6609	25015
209	6644	24996
210	6679	24977
211	6727	25005
212	6762	24986
213	6803	24988
214	6832	24947
215	6861	24903
216	6894	24876
217	6923	24836
218	6952	24792
219	6979	24746
220	7006	24698
221	7035	24656
222	7063	24609
223	7092	24571
224	7120	24527
225	7148	24483
226	7177	24442
227	7210	24413
228	7240	24376
229	7270	24339
230	7298	24298
231	7327	24255
232	7355	24214
233	7384	24172
234	7415	24139
235	7445	24104
236	7475	24066
237	7505	24029
238	7534	23990
239	7563	23952
240	7593	23913
241	7622	23876
242	7651	23836
243	7680	23797
244	7709	23757
245	7736	23712
246	7764	23670
247	7793	23631
248	7822	23592
249	7852	23558
250	7883	23526
251	7913	23489
252	7942	23450
253	7968	23404
254	7996	23363
255	8025	23324
256	8053	23283
257	8080	23239
258	8110	23204
259	8138	23163
260	8165	23118
261	8193	23078
262	8226	23053
263	8256	23019
264	8283	22975
265	8314	22941
266	8343	22904
267	8372	22867
268	8402	22834
269	8430	22794
270	8461	22762
271	8492	22730
272	8521	22693
273	8550	22656
274	8580	22620
275	8611	22588
276	8641	22555
277	8671	22519
278	8699	22481
279	8728	22444
280	8758	22411
281	8785	22369
282	8813	22329
283	8842	22292
284	8872	22259
285	8901	22222
286	8930	22185
287	8958	22148
288	8988	22112
289	9017	22078
290	9046	22041
291	9076	22007
292	9107	21975
293	9137	21941
294	9168	21911
295	9198	21877
296	9229	21846
297	9260	21813
298	9289	21778
