iter	MultiClass
0	1.08928285
1	1.078004612
2	1.068402961
3	1.058226995
4	1.049805356
5	1.042561133
6	1.034251575
7	1.02700084
8	1.02090261
9	1.014398241
10	1.007093622
11	1.000022014
12	0.9933513448
13	0.9860318398
14	0.9802411714
15	0.9747917296
16	0.9693082403
17	0.9643433408
18	0.9589316588
19	0.9539535931
20	0.9505052389
21	0.9477810072
22	0.9445891963
23	0.939992222
24	0.9361773109
25	0.9323691611
26	0.9288422886
27	0.9250746781
28	0.9216130217
29	0.9179594609
30	0.9145019338
31	0.9116269069
32	0.9086022623
33	0.9058355714
34	0.9030032695
35	0.9007740043
36	0.8975667089
37	0.8950385006
38	0.8928821597
39	0.8907856185
40	0.8878837001
41	0.88544629
42	0.8824547719
43	0.879763654
44	0.8773903354
45	0.8744333266
46	0.8716163757
47	0.8694913497
48	0.8670538168
49	0.8645768543
50	0.8630544285
51	0.8610674622
52	0.8589375864
53	0.8569897387
54	0.8553328444
55	0.8529739094
56	0.8516732706
57	0.85008676
58	0.8485749388
59	0.8474235024
60	0.8450841412
61	0.8432157631
62	0.8410792548
63	0.8394126966
64	0.8376950435
65	0.8357486366
66	0.8336956447
67	0.8317321101
68	0.8304898944
69	0.8294394547
70	0.8279165159
71	0.8266215148
72	0.8257575658
73	0.8240430875
74	0.8228254271
75	0.8212791584
76	0.8199871972
77	0.8187167849
78	0.8173500689
79	0.8159646307
80	0.8140300014
81	0.8132082965
82	0.8120496097
83	0.8105031065
84	0.80931507
85	0.8078660675
86	0.8055055957
87	0.8048096666
88	0.8032918852
89	0.8025088599
90	0.8012364247
91	0.8005767702
92	0.7998512872
93	0.7984799423
94	0.7973053397
95	0.7964410523
96	0.7952080339
97	0.7939257796
98	0.7931467127
99	0.7918928249
100	0.7905632439
101	0.7899793671
102	0.7888555967
103	0.7867883935
104	0.7861525138
105	0.7854025978
106	0.7838772479
107	0.7827298892
108	0.7826151614
109	0.7819745302
110	0.7807349671
111	0.7796097805
112	0.7786023526
113	0.7774101521
114	0.7760419892
115	0.7745116647
116	0.7737200466
117	0.7728930802
118	0.7717591076
119	0.7708265101
120	0.7697952353
121	0.7686349514
122	0.76753221
123	0.7670760085
124	0.7663519264
125	0.7653488903
126	0.7645555727
127	0.7637212735
128	0.7625369988
129	0.7611605662
130	0.7607371432
131	0.7602365061
132	0.7592089551
133	0.7579122533
134	0.7568059672
135	0.7563087898
136	0.7560753763
137	0.7549534714
138	0.7537264173
139	0.7532828527
140	0.7519109743
141	0.7509880668
142	0.7505619919
143	0.7491779971
144	0.7484063278
145	0.7475161641
146	0.746378469
147	0.7452887508
148	0.7444991986
149	0.7438140336
150	0.7432880181
151	0.7426827066
152	0.7418394134
153	0.7413277202
154	0.7405830627
155	0.7398104772
156	0.7388392254
157	0.7383475194
158	0.7375224112
159	0.7366996875
160	0.734919922
161	0.7343193732
162	0.7339394349
163	0.7328140327
164	0.7318975588
165	0.7308186259
166	0.7299654102
167	0.7290448637
168	0.7284489782
169	0.7281735091
170	0.7270134577
171	0.7263772209
172	0.7251677633
173	0.7246293053
174	0.7237208426
175	0.7227250651
176	0.7219672979
177	0.7206367875
178	0.7201628921
179	0.7194184861
180	0.7184694499
181	0.7180010148
182	0.7171366705
183	0.7164832663
184	0.7155622827
185	0.7152553599
186	0.7148420993
187	0.7141812079
188	0.7130659748
189	0.7119430223
190	0.7114629306
191	0.7101323311
192	0.7094022487
193	0.7087733008
194	0.7078705752
195	0.7072334786
196	0.7066816522
197	0.7054121073
198	0.7045215003
199	0.7045155176
200	0.7040991797
201	0.7035628103
202	0.7025554875
203	0.7017703297
204	0.7010425591
205	0.6998517908
206	0.699222025
207	0.6981143282
208	0.6972347816
209	0.6967969753
210	0.6955529526
211	0.6954371846
212	0.6949442569
213	0.6943260392
214	0.6936959588
215	0.6930000421
216	0.6923632875
217	0.691674998
218	0.6911120539
219	0.6905541676
220	0.689330881
221	0.6888242708
222	0.6883530447
223	0.6872201255
224	0.6863740208
225	0.6853704844
226	0.6845281237
227	0.6838258053
228	0.683266391
229	0.6826868444
230	0.6822656798
231	0.6819110594
232	0.6806923823
233	0.6801725472
234	0.6794297875
235	0.6784270371
236	0.6772443727
237	0.6762928416
238	0.6753716817
239	0.6747923244
240	0.674202549
241	0.6735897546
242	0.6730376056
243	0.6721861562
244	0.6711915776
245	0.6707121474
246	0.6704270327
247	0.6695450303
248	0.6689591049
249	0.6680135632
250	0.667443169
251	0.6667791076
252	0.6658529783
253	0.6655490136
254	0.6644198975
255	0.663596969
256	0.6630192941
257	0.6622062746
258	0.661772985
259	0.6612258818
260	0.6609023084
261	0.6598563566
262	0.6587316902
263	0.6574714297
264	0.6568941237
265	0.6559005804
266	0.6547531896
267	0.6541570339
268	0.6535054255
269	0.6527290347
270	0.6524147443
271	0.6514260189
272	0.6507576007
273	0.6503850064
274	0.6496662426
275	0.6485446889
